2026/07/22 02:13:43.228, P8, 210 MHz, 8.20 W, 3613 MiB, 100 %
2026/07/22 02:13:48.549, P8, 210 MHz, 7.97 W, 3613 MiB, 98 %
2026/07/22 02:13:53.897, P8, 210 MHz, 4.21 W, 3613 MiB, 0 %
 Idle : Not Active; SW Power Cap : Active; SW Power Capping : 1372256968 us;
2026/07/22 02:13:59.176, P8, 210 MHz, 4.24 W, 3613 MiB, 0 %
2026/07/22 02:14:04.314, P8, 210 MHz, 4.23 W, 3613 MiB, 0 %
2026/07/22 02:14:09.450, P8, 210 MHz, 4.22 W, 3613 MiB, 0 %
2026/07/22 02:14:14.582, P8, 210 MHz, 4.22 W, 3613 MiB, 0 %
2026/07/22 02:14:19.718, P8, 210 MHz, 8.23 W, 3613 MiB, 100 %
2026/07/22 02:14:25.042, P8, 210 MHz, 7.90 W, 3613 MiB, 100 %
2026/07/22 02:14:30.309, P8, 210 MHz, 8.22 W, 3613 MiB, 100 %
2026/07/22 02:14:35.585, P8, 210 MHz, 8.04 W, 3613 MiB, 100 %
2026/07/22 02:14:40.925, P8, 210 MHz, 4.20 W, 3613 MiB, 0 %
2026/07/22 02:14:46.050, P8, 210 MHz, 4.17 W, 3613 MiB, 0 %
2026/07/22 02:14:51.253, P8, 210 MHz, 5.98 W, 3613 MiB, 100 %
2026/07/22 02:14:56.719, P8, 210 MHz, 7.91 W, 3613 MiB, 100 %
2026/07/22 02:15:01.975, P8, 210 MHz, 4.81 W, 4576 MiB, 35 %
2026/07/22 02:15:07.127, P8, 210 MHz, 8.12 W, 5640 MiB, 100 %
2026/07/22 02:15:12.318, P8, 210 MHz, 7.86 W, 7182 MiB, 95 %
2026/07/22 02:15:17.702, P8, 210 MHz, 4.14 W, 7192 MiB, 0 %
2026/07/22 02:15:22.843, P8, 210 MHz, 7.82 W, 7192 MiB, 100 %
2026/07/22 02:15:28.098, P8, 210 MHz, 7.83 W, 7192 MiB, 100 %
2026/07/22 02:15:33.345, P8, 210 MHz, 7.77 W, 7192 MiB, 100 %
2026/07/22 02:15:38.572, P8, 210 MHz, 7.84 W, 7192 MiB, 99 %
2026/07/22 02:15:43.835, P8, 210 MHz, 7.69 W, 7192 MiB, 100 %
2026/07/22 02:15:49.099, P8, 210 MHz, 7.80 W, 7192 MiB, 100 %
2026/07/22 02:15:54.368, P8, 210 MHz, 7.89 W, 7192 MiB, 100 %
2026/07/22 02:15:59.726, P8, 210 MHz, 7.80 W, 7192 MiB, 100 %
 Idle : Not Active; SW Power Cap : Active; SW Power Capping : 1498217162 us;
2026/07/22 02:16:05.240, P8, 210 MHz, 7.51 W, 7192 MiB, 100 %
2026/07/22 02:16:10.430, P8, 210 MHz, 7.45 W, 7192 MiB, 99 %
2026/07/22 02:16:15.644, P8, 210 MHz, 7.51 W, 7192 MiB, 100 %
2026/07/22 02:16:20.858, P8, 210 MHz, 7.38 W, 7194 MiB, 100 %
2026/07/22 02:16:26.061, P8, 210 MHz, 7.70 W, 7194 MiB, 100 %
2026/07/22 02:16:31.340, P8, 210 MHz, 7.72 W, 7194 MiB, 100 %
2026/07/22 02:16:36.616, P8, 210 MHz, 7.81 W, 7194 MiB, 100 %
2026/07/22 02:16:41.883, P8, 210 MHz, 7.77 W, 7196 MiB, 100 %
2026/07/22 02:16:47.156, P3, 2505 MHz, 20.03 W, 7196 MiB, 0 %
2026/07/22 02:16:52.215, P0, 1980 MHz, 55.10 W, 7196 MiB, 99 %
